# This file contains the list of genes (nodes) in the gene regulatory network
# of Homo sapiens.
# 
# The original network was built using the information available from
# 
# Gerstein MB, Kundaje A, Hariharan M, Landt SG, Yan KK, Cheng C, et al.
# Architecture of the human regulatory network derived from ENCODE data.
# Nature. 2012;489(7414):91–100. doi:10.1038/nature11245.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
hsa-miR-23b	1	105	Reservoir
TRIM28	3	104	Reservoir
STAT2	8	102	Reservoir
hsa-miR-626	1	102	Reservoir
hsa-miR-339-5p	2	99	Reservoir
IRF1	11	96	Reservoir
HSF1	3	95	Reservoir
SIRT6	3	94	Reservoir
hsa-miR-20a	34	93	Reservoir
hsa-miR-632	3	93	Reservoir
POU5F1	3	92	Reservoir
SMARCC1	24	86	Reservoir
hsa-miR-1245	2	86	Reservoir
hsa-miR-192	1	85	Reservoir
BHLHE40	38	84	Reservoir
hsa-miR-615-5p	1	79	Reservoir
WRNIP1	4	72	Reservoir
SREBF2	7	71	Reservoir
hsa-miR-567	2	71	Reservoir
hsa-let-7b	1	69	Reservoir
NR2C2	63	67	Reservoir
hsa-miR-199b-5p	1	67	Reservoir
hsa-miR-645	3	61	Reservoir
hsa-miR-27b	1	61	Reservoir
BRF2	8	57	Reservoir
hsa-miR-93	1	51	Reservoir
hsa-miR-135b	1	51	Reservoir
PPARGC1A	46	49	Reservoir
PRDM1	31	47	Reservoir
ZNF143	11	47	Reservoir
RDBP	4	41	Reservoir
hsa-miR-10b	1	39	Reservoir
hsa-miR-92a	34	36	Reservoir
hsa-miR-200c	1	34	Reservoir
hsa-miR-191	1	34	Reservoir
SMARCC2	8	33	Reservoir
hsa-miR-663	85	31	Reservoir
hsa-miR-302c	6	23	Reservoir
hsa-miR-564	4	19	Reservoir
hsa-miR-638	8	18	Reservoir
hsa-miR-193a-3p	1	14	Reservoir
hsa-miR-1304	3	140	Readout
hsa-miR-1286	1	130	Readout
hsa-miR-330-5p	1	127	Readout
hsa-miR-26b	4	123	Readout
hsa-miR-21	26	105	Readout
hsa-miR-219-2-3p	1	94	Readout
hsa-miR-19b	34	89	Readout
hsa-miR-193a-5p	1	86	Readout
hsa-miR-663b	96	79	Readout
hsa-miR-195	2	77	Readout
hsa-miR-1293	1	72	Readout
ESRRA	25	70	Readout
hsa-miR-1262	3	69	Readout
hsa-miR-1322	2	65	Readout
hsa-miR-541	1	63	Readout
ZZZ3	39	56	Readout
hsa-miR-1288	2	51	Readout
hsa-miR-554	1	46	Readout
XRCC4	2	44	Readout
hsa-miR-190b	1	43	Readout
hsa-miR-301b	38	39	Readout
hsa-let-7i	1	34	Readout
hsa-miR-196b	3	31	Readout
hsa-miR-106b	1	26	Readout
GATA3	33	25	Readout
hsa-miR-1292	3	23	Readout
hsa-miR-126	1	16	Readout
hsa-miR-451	3	14	Readout
hsa-miR-302b	7	12	Readout
hsa-miR-339-3p	2	11	Readout
hsa-miR-598	1	11	Readout
hsa-miR-147b	1	11	Readout
FAM48A	2	10	Readout
HDAC8	5	9	Readout
hsa-miR-658	1	8	Readout
hsa-miR-611	4	7	Readout
hsa-miR-639	3	7	Readout
hsa-miR-99b	1	7	Readout
hsa-let-7e	1	7	Readout
hsa-miR-1250	1	6	Readout
hsa-miR-1306	9	5	Readout
hsa-miR-483-5p	5	4	Readout
hsa-miR-614	2	4	Readout
hsa-miR-615-3p	1	4	Readout
hsa-miR-302d	5	3	Readout
hsa-miR-92b	3	3	Readout
THAP1	8	2	Readout
hsa-miR-548c-5p	1	2	Readout
TNRC6B	177	0	Readout_terminal
ONECUT2	142	0	Readout_terminal
NFIB	136	0	Readout_terminal
ACVR2B	133	0	Readout_terminal
MECP2	126	0	Readout_terminal
CELF2	126	0	Readout_terminal
ZFHX4	123	0	Readout_terminal
PURB	122	0	Readout_terminal
NFAT5	120	0	Readout_terminal
NUFIP2	119	0	Readout_terminal
AAK1	118	0	Readout_terminal
ROCK1P1	115	0	Readout_terminal
HIPK2	115	0	Readout_terminal
INO80D	111	0	Readout_terminal
BNC2	111	0	Readout_terminal
TRPS1	110	0	Readout_terminal
ANKRD52	110	0	Readout_terminal
TEAD1	109	0	Readout_terminal
KCMF1	108	0	Readout_terminal
CPEB2	108	0	Readout_terminal
MAPK1	107	0	Readout_terminal
BACH2	107	0	Readout_terminal
SOX11	105	0	Readout_terminal
ANKRD30BL	105	0	Readout_terminal
ZNF148	103	0	Readout_terminal
TANC2	103	0	Readout_terminal
JHDM1D	103	0	Readout_terminal
CREBZF	103	0	Readout_terminal
UBN2	102	0	Readout_terminal
TET3	101	0	Readout_terminal
KLF12	101	0	Readout_terminal
MLL2	99	0	Readout_terminal
CPEB4	99	0	Readout_terminal
SFRS1	98	0	Readout_terminal
ENAH	96	0	Readout_terminal
PDE4D	93	0	Readout_terminal
GATAD2B	92	0	Readout_terminal
CNOT6L	92	0	Readout_terminal
BCL11B	92	0	Readout_terminal
RPS6KA3	88	0	Readout_terminal
H3F3B	88	0	Readout_terminal
FOXN3	88	0	Readout_terminal
DCX	88	0	Readout_terminal
HNRNPA3	87	0	Readout_terminal
DDX3X	85	0	Readout_terminal
RC3H1	82	0	Readout_terminal
NOVA1	82	0	Readout_terminal
ZFAND5	81	0	Readout_terminal
MYT1L	81	0	Readout_terminal
IGF1R	81	0	Readout_terminal
ETFB	81	0	Readout_terminal
PAPD5	80	0	Readout_terminal
MBNL1	80	0	Readout_terminal
KLF3	80	0	Readout_terminal
AGFG1	80	0	Readout_terminal
CBL	79	0	Readout_terminal
SMAD4	78	0	Readout_terminal
SAMD12	78	0	Readout_terminal
KPNA6	78	0	Readout_terminal
IKZF2	78	0	Readout_terminal
HLF	78	0	Readout_terminal
EIF2C1	78	0	Readout_terminal
DDX6	78	0	Readout_terminal
THRB	77	0	Readout_terminal
CRKL	77	0	Readout_terminal
CLCN5	77	0	Readout_terminal
SERBP1	76	0	Readout_terminal
SHANK2	75	0	Readout_terminal
PHF21A	75	0	Readout_terminal
KPNA1	75	0	Readout_terminal
ERBB4	75	0	Readout_terminal
DYRK1A	75	0	Readout_terminal
CREB5	75	0	Readout_terminal
NOTUM	74	0	Readout_terminal
IGF1	74	0	Readout_terminal
CPEB3	74	0	Readout_terminal
ZNF618	73	0	Readout_terminal
SH3PXD2A	73	0	Readout_terminal
MEX3A	73	0	Readout_terminal
FBXW7	73	0	Readout_terminal
DLGAP2	73	0	Readout_terminal
RNF165	72	0	Readout_terminal
MAF	72	0	Readout_terminal
EBI3	72	0	Readout_terminal
MARCKS	71	0	Readout_terminal
ESRRG	71	0	Readout_terminal
ERBB3	71	0	Readout_terminal
CDK6	71	0	Readout_terminal
CCDC6	71	0	Readout_terminal
AC011472.1	71	0	Readout_terminal
ZFHX3	70	0	Readout_terminal
HNRNPU	70	0	Readout_terminal
CLTC	70	0	Readout_terminal
MTF1	69	0	Readout_terminal
ELAVL2	69	0	Readout_terminal
CSNK1G1	69	0	Readout_terminal
C18ORF1	69	0	Readout_terminal
ARHGEF12	69	0	Readout_terminal
PPP1CB	68	0	Readout_terminal
BMPR2	68	0	Readout_terminal
ARID2	68	0	Readout_terminal
AEBP2	68	0	Readout_terminal
TNPO1	67	0	Readout_terminal
TMEM170B	67	0	Readout_terminal
PAPPA	67	0	Readout_terminal
PALM2	67	0	Readout_terminal
HIC2	67	0	Readout_terminal
FBXO33	67	0	Readout_terminal
BRWD1	67	0	Readout_terminal
BEND4	67	0	Readout_terminal
AFF4	67	0	Readout_terminal
SRGAP3	66	0	Readout_terminal
PTPRD	66	0	Readout_terminal
PLAGL2	66	0	Readout_terminal
PIK3R1	66	0	Readout_terminal
KIAA0182	66	0	Readout_terminal
FZD4	66	0	Readout_terminal
E2F3	66	0	Readout_terminal
CACNA1C	66	0	Readout_terminal
ZEB2	65	0	Readout_terminal
RNF44	65	0	Readout_terminal
PDIK1L	65	0	Readout_terminal
MEF2D	65	0	Readout_terminal
IGF2BP1	65	0	Readout_terminal
FOXP1	65	0	Readout_terminal
CUL3	65	0	Readout_terminal
CNOT2	65	0	Readout_terminal
CD7	65	0	Readout_terminal
ATRX	65	0	Readout_terminal
ZNRF3	64	0	Readout_terminal
XYLT1	64	0	Readout_terminal
SLC4A4	64	0	Readout_terminal
PTP4A1	64	0	Readout_terminal
NUP214	64	0	Readout_terminal
FOXO3	64	0	Readout_terminal
CAMTA1	64	0	Readout_terminal
SMAD2	63	0	Readout_terminal
RICTOR	63	0	Readout_terminal
RBM9	63	0	Readout_terminal
PTCH1	63	0	Readout_terminal
PLAG1	63	0	Readout_terminal
PDE4DIP	63	0	Readout_terminal
NLK	63	0	Readout_terminal
NBPF1	63	0	Readout_terminal
KIAA2022	63	0	Readout_terminal
BCR	63	0	Readout_terminal
BAZ2A	63	0	Readout_terminal
AFF3	63	0	Readout_terminal
ZBTB44	62	0	Readout_terminal
ZBTB34	62	0	Readout_terminal
SLC5A3	62	0	Readout_terminal
SDF2L1	62	0	Readout_terminal
NEGR1	62	0	Readout_terminal
LRP6	62	0	Readout_terminal
KIAA2018	62	0	Readout_terminal
KCNMA1	62	0	Readout_terminal
FRS2	62	0	Readout_terminal
EBF3	62	0	Readout_terminal
C1ORF21	62	0	Readout_terminal
ATXN1	62	0	Readout_terminal
YWHAZ	61	0	Readout_terminal
WHSC1	61	0	Readout_terminal
SULT2A1	61	0	Readout_terminal
OTUD4	61	0	Readout_terminal
GXYLT1	61	0	Readout_terminal
BSN	61	0	Readout_terminal
ANKRD13C	61	0	Readout_terminal
ABHD2	61	0	Readout_terminal
YDJC	60	0	Readout_terminal
RIMKLA	60	0	Readout_terminal
RAB22A	60	0	Readout_terminal
QKI	60	0	Readout_terminal
PRDM16	60	0	Readout_terminal
PMF1	60	0	Readout_terminal
PHC3	60	0	Readout_terminal
PCGF3	60	0	Readout_terminal
ELL2	60	0	Readout_terminal
BDNF	60	0	Readout_terminal
ZNF609	59	0	Readout_terminal
SLC39A5	59	0	Readout_terminal
PDGFRA	59	0	Readout_terminal
PARD6B	59	0	Readout_terminal
KLF13	59	0	Readout_terminal
DICER1	59	0	Readout_terminal
ZNF595	58	0	Readout_terminal
ZCCHC14	58	0	Readout_terminal
UBE2G1	58	0	Readout_terminal
SNX27	58	0	Readout_terminal
SNAP29	58	0	Readout_terminal
SH3TC2	58	0	Readout_terminal
RYBP	58	0	Readout_terminal
RUNX3	58	0	Readout_terminal
NFIX	58	0	Readout_terminal
HDAC4	58	0	Readout_terminal
GPCPD1	58	0	Readout_terminal
FRMD4A	58	0	Readout_terminal
EGR3	58	0	Readout_terminal
DCP1A	58	0	Readout_terminal
C5ORF41	58	0	Readout_terminal
BCL2L2	58	0	Readout_terminal
ZFPM2	57	0	Readout_terminal
UBFD1	57	0	Readout_terminal
SOCS6	57	0	Readout_terminal
RAPGEF2	57	0	Readout_terminal
MTMR3	57	0	Readout_terminal
CCND2	57	0	Readout_terminal
CCDC116	57	0	Readout_terminal
BTBD7	57	0	Readout_terminal
ANKRD12	57	0	Readout_terminal
AFF2	57	0	Readout_terminal
ZNF718	56	0	Readout_terminal
ZC3H6	56	0	Readout_terminal
VAPA	56	0	Readout_terminal
UBE2W	56	0	Readout_terminal
SR140	56	0	Readout_terminal
NAV1	56	0	Readout_terminal
NAA15	56	0	Readout_terminal
KRAS	56	0	Readout_terminal
HELZ	56	0	Readout_terminal
FAT3	56	0	Readout_terminal
DLG2	56	0	Readout_terminal
BCL2	56	0	Readout_terminal
ASCL1	56	0	Readout_terminal
ZNF238	55	0	Readout_terminal
USP31	55	0	Readout_terminal
USP20	55	0	Readout_terminal
SPTBN1	55	0	Readout_terminal
SNTB2	55	0	Readout_terminal
RALGPS1	55	0	Readout_terminal
NCOA1	55	0	Readout_terminal
MGAT4A	55	0	Readout_terminal
METTL8	55	0	Readout_terminal
KCNA1	55	0	Readout_terminal
IRF2	55	0	Readout_terminal
ELAVL1	55	0	Readout_terminal
ACVR1C	55	0	Readout_terminal
YAF2	54	0	Readout_terminal
ST8SIA2	54	0	Readout_terminal
SSH2	54	0	Readout_terminal
SOX12	54	0	Readout_terminal
SLC23A2	54	0	Readout_terminal
PLXNA2	54	0	Readout_terminal
KPNA4	54	0	Readout_terminal
FOXO1	54	0	Readout_terminal
ETV1	54	0	Readout_terminal
EPB41	54	0	Readout_terminal
CEP350	54	0	Readout_terminal
CALN1	54	0	Readout_terminal
C14ORF43	54	0	Readout_terminal
ATXN7L1	54	0	Readout_terminal
ADAMTS5	54	0	Readout_terminal
TBL1XR1	53	0	Readout_terminal
PRAME	53	0	Readout_terminal
PI4KA	53	0	Readout_terminal
MEIS2	53	0	Readout_terminal
KPNA3	53	0	Readout_terminal
ITGB8	53	0	Readout_terminal
FAM168B	53	0	Readout_terminal
ZC3H12C	52	0	Readout_terminal
STXBP5L	52	0	Readout_terminal
STAG2	52	0	Readout_terminal
SH2B3	52	0	Readout_terminal
PPP3R1	52	0	Readout_terminal
PLXNA4	52	0	Readout_terminal
NIPBL	52	0	Readout_terminal
NCAM1	52	0	Readout_terminal
MEIS1	52	0	Readout_terminal
GPR85	52	0	Readout_terminal
FOXP2	52	0	Readout_terminal
CHIC1	52	0	Readout_terminal
ATXN7L3	52	0	Readout_terminal
ARPP19	52	0	Readout_terminal
ARHGAP26	52	0	Readout_terminal
ADAMTS6	52	0	Readout_terminal
SLC6A6	51	0	Readout_terminal
PEG10	51	0	Readout_terminal
PCDH19	51	0	Readout_terminal
MED1	51	0	Readout_terminal
MAP2K4	51	0	Readout_terminal
LSR	51	0	Readout_terminal
KIAA1549	51	0	Readout_terminal
KDM6A	51	0	Readout_terminal
GRHL3	51	0	Readout_terminal
FAM120C	51	0	Readout_terminal
DCP2	51	0	Readout_terminal
ASPSCR1	51	0	Readout_terminal
ZNF516	50	0	Readout_terminal
SSR1	50	0	Readout_terminal
SPOPL	50	0	Readout_terminal
RIMS4	50	0	Readout_terminal
RDX	50	0	Readout_terminal
PPIL2	50	0	Readout_terminal
PHF15	50	0	Readout_terminal
NEK6	50	0	Readout_terminal
MXD1	50	0	Readout_terminal
MLL3	50	0	Readout_terminal
LOC648691	50	0	Readout_terminal
LIN7C	50	0	Readout_terminal
KCNC1	50	0	Readout_terminal
FZD5	50	0	Readout_terminal
FXR1	50	0	Readout_terminal
CORO1C	50	0	Readout_terminal
CHD7	50	0	Readout_terminal
C18ORF25	50	0	Readout_terminal
BCAT1	50	0	Readout_terminal
SPRY3	49	0	Readout_terminal
SLC12A5	49	0	Readout_terminal
SEMA6A	49	0	Readout_terminal
RANBP10	49	0	Readout_terminal
PTEN	49	0	Readout_terminal
PRKCE	49	0	Readout_terminal
PLCXD3	49	0	Readout_terminal
PCNX	49	0	Readout_terminal
OLA1	49	0	Readout_terminal
NEAT1	49	0	Readout_terminal
NCOA3	49	0	Readout_terminal
MLL	49	0	Readout_terminal
MALAT1	49	0	Readout_terminal
IRF2BP2	49	0	Readout_terminal
HNRNPA2B1	49	0	Readout_terminal
FIGN	49	0	Readout_terminal
FBXO45	49	0	Readout_terminal
ETNK1	49	0	Readout_terminal
DMD	49	0	Readout_terminal
CPSF6	49	0	Readout_terminal
ASH1L	49	0	Readout_terminal
YPEL1	48	0	Readout_terminal
VTI1A	48	0	Readout_terminal
UBE2K	48	0	Readout_terminal
SP8	48	0	Readout_terminal
