# This file contains the list of regulation interactions (graph edges) that
# define the gene regulatory network of Drosophila melanogaster.
# 
# The original network was built using the information available from
# 
# Roy S, Ernst J, Kharchenko PV, Kheradpour P, Negre N, Eaton ML, et al.
# Identification of functional elements and regulatory circuits by Drosophila
# modENCODE. Science (New York, NY). 2010;330(6012):1787–97.
# doi:10.1126/science.1198374.
# 
# Columns:
# 1. regulator gene
# 2. target or regulated gene
# 3. If available in the original source, effect of the regulation: activatory
# (+) or inhibitory (-). Context dependent or unknown effects where assumed to
# be activatory.
# 
Source	Target	Mode
Sry-beta	TfIIA-L	
Sry-beta	CG5589	
Sry-beta	CG14450	
Sry-beta	icln	
Sry-beta	Deaf1	
Sry-beta	CG6985	
Sry-beta	CG8679	
Sry-beta	CG4980	
Sry-beta	CG17361	
Sry-beta	CG8478	
Sry-beta	iHog	
Sry-beta	Pitslre	
Sry-beta	cos	
Sry-beta	Sap30	
Sry-beta	pch2	
Sry-beta	brat	
Sry-beta	CG5515	
Sry-beta	CG5514	
Sry-beta	CG5516	
Sry-beta	CG17218	
Sry-beta	CG5510	
Sry-beta	Cdk8	
Sry-beta	Cdk9	
Sry-beta	Prp18	
Sry-beta	His2Av	
Sry-beta	CG31357	
Sry-beta	CG6961	
Sry-beta	CG6962	
Sry-beta	CG4332	
Sry-beta	Mkrn1	
Sry-beta	Int6	
Sry-beta	CG14149	
Sry-beta	cdc2	
Sry-beta	CG12877	
Sry-beta	Trn-SR	
Sry-beta	CtBP	
Sry-beta	Utx	
Sry-beta	CG11436	
Sry-beta	Cul-4	
Sry-beta	CG7222	
Sry-beta	CG13690	
Sry-beta	CG3214	
Sry-beta	CG12909	
Sry-beta	CG15436	
Sry-beta	ix	
Sry-beta	CG15434	
Sry-beta	CG15432	
Sry-beta	RnpS1	
Sry-beta	cana	
Sry-beta	mus209	
Sry-beta	CG12301	
Sry-beta	CG15439	
Sry-beta	Atg18	
Sry-beta	geminin	
Sry-beta	mms4	
Sry-beta	Gas41	
Sry-beta	CG3071	
Sry-beta	CG7593	
Sry-beta	Tango10	
Sry-beta	CG7597	
Sry-beta	HP5	
Sry-beta	HP4	
Sry-beta	CG4806	
Sry-beta	CG7358	
Sry-beta	CG7357	
Sry-beta	CG18081	
Sry-beta	CG3678	
Sry-beta	CG3679	
Sry-beta	CG2091	
Sry-beta	CG9797	
Sry-beta	hang	
Sry-beta	CG7824	
Sry-beta	CG6776	
Sry-beta	thr	
Sry-beta	CG6179	
Sry-beta	CG10341	
Sry-beta	CG6171	
Sry-beta	CG9248	
Sry-beta	CG6791	
Sry-beta	CG8314	
Sry-beta	CG5198	
Sry-beta	DebB	
Sry-beta	CG9246	
Sry-beta	CG1681	
Sry-beta	CG1513	
Sry-beta	CG1518	
Sry-beta	CG11107	
Sry-beta	east	
Sry-beta	CG11103	
Sry-beta	MED15	
Sry-beta	CG6422	
Sry-beta	CG6425	
Sry-beta	CG6426	
Sry-beta	Trn	
Sry-beta	Tbp-1	
Sry-beta	Dlc90F	
Sry-beta	CG5044	
Sry-beta	CG6227	
Sry-beta	Cpsf100	
Sry-beta	Top3beta	
Sry-beta	vimar	
Sry-beta	Atac1	
Sry-beta	Trf	
Sry-beta	CG1024	
Sry-beta	Nup160	
Sry-beta	borr	
Sry-beta	bora	
Sry-beta	CG17689	
Sry-beta	Tfb4	
Sry-beta	Ef1gamma	
Sry-beta	cnn	
Sry-beta	cnk	
Sry-beta	MKP-4	
Sry-beta	CG10435	
Sry-beta	CG11926	
Sry-beta	pll	
Sry-beta	CG17359	
Sry-beta	CG5451	
Sry-beta	CG8441	
Sry-beta	CG8444	
Sry-beta	CG8446	
Sry-beta	Ppt2	
Sry-beta	ldbr	
Sry-beta	AGO1	
Sry-beta	CG11696	
Sry-beta	mbm	
Sry-beta	CG7028	
Sry-beta	CG4300	
Sry-beta	mbt	
Sry-beta	janA	
Sry-beta	alpha-Man-IIb	
Sry-beta	CG5522	
Sry-beta	CG5859	
Sry-beta	CG31731	
Sry-beta	CG5854	
Sry-beta	p115	
Sry-beta	CG10646	
Sry-beta	CG7430	
Sry-beta	CG31347	
Sry-beta	CG31342	
Sry-beta	CG6950	
Sry-beta	CG3448	
Sry-beta	mei-38	
Sry-beta	mts	
Sry-beta	Top2	
Sry-beta	Top1	
Sry-beta	RpII215	
Sry-beta	Mst85C	
Sry-beta	CG15209	
Sry-beta	CG5360	
Sry-beta	Rassf	
Sry-beta	Gos28	
Sry-beta	Rox8	
Sry-beta	aph-1	
Sry-beta	CG18259	
Sry-beta	CG7338	
Sry-beta	Sgf11	
Sry-beta	CG15443	
Sry-beta	betaTub56D	
Sry-beta	squ	
Sry-beta	CG11357	
Sry-beta	MRG15	
Sry-beta	CG11596	
Sry-beta	His3.3A	
Sry-beta	CG3065	
Sry-beta	Sgt	
Sry-beta	TfIIFalpha	
Sry-beta	CG3847	
Sry-beta	CG3662	
Sry-beta	CG2790	
Sry-beta	CG5941	
Sry-beta	milt	
Sry-beta	RpII33	
Sry-beta	mus304	
Sry-beta	row	
Sry-beta	gp210	
Sry-beta	CG6762	
Sry-beta	CG9300	
Sry-beta	CG9302	
Sry-beta	CG16903	
Sry-beta	Moca-cyp	
Sry-beta	dik	
Sry-beta	CG8878	
Sry-beta	enok	
Sry-beta	CG1523	
Sry-beta	CG7785	
Sry-beta	Mat89Bb	
Sry-beta	sced	
Sry-beta	Nup358	
Sry-beta	CG8270	
Sry-beta	Rep	
Sry-beta	regucalcin	
Sry-beta	plu	
Sry-beta	CG2938	
Sry-beta	CG1789	
Sry-beta	CG9356	
Sry-beta	CG5033	
Sry-beta	CG1785	
Sry-beta	CG6540	
Sry-beta	CG9272	
Sry-beta	Nop60B	
Sry-beta	GstE9	
Sry-beta	CG1234	
Sry-beta	CG11009	
Sry-beta	Nf-YA	
Sry-beta	CG2478	
Sry-beta	e(r)	
Sry-beta	MAGE	
Sry-beta	CG5146	
Sry-beta	CG4497	
Sry-beta	eEF1delta	
Sry-beta	CG1307	
Sry-beta	Cbp80	
Sry-beta	bon	
Sry-beta	Klp31E	
Sry-beta	Meics	
Sry-beta	Pak3	
Sry-beta	Rpt4	
Sry-beta	CG11919	
Sry-beta	CG10428	
Sry-beta	CG5447	
Sry-beta	CG5445	
Sry-beta	CG11927	
Sry-beta	CG4140	
Sry-beta	CG8232	
Sry-beta	CG5537	
Sry-beta	Spc105R	
Sry-beta	caz	
Sry-beta	cav	
Sry-beta	CG31111	
Sry-beta	Rs1	
Sry-beta	CG11771	
Sry-beta	CG11777	
Sry-beta	CG4849	
Sry-beta	snf	
Sry-beta	ric8a	
Sry-beta	CG14184	
Sry-beta	CG32226	
Sry-beta	CG2656	
Sry-beta	CG14630	
Sry-beta	CG4951	
Sry-beta	CG10743	
Sry-beta	Pgi	
Sry-beta	sl	
Sry-beta	SuUR	
Sry-beta	Chi	
Sry-beta	mbo	
Sry-beta	CG32043	
Sry-beta	CG11583	
Sry-beta	CG31803	
Sry-beta	CG11376	
Sry-beta	CG11586	
Sry-beta	CG7372	
Sry-beta	Tbp	
Sry-beta	CG7379	
Sry-beta	CG3309	
Sry-beta	xl6	
Sry-beta	noi	
Sry-beta	CG3894	
Sry-beta	CG3893	
Sry-beta	not	
Sry-beta	mus312	
Sry-beta	CG7154	
Sry-beta	nonA-l	
Sry-beta	Pros35	
Sry-beta	CG17153	
Sry-beta	CG12299	
Sry-beta	CG8993	
Sry-beta	RluA-2	
Sry-beta	CG5339	
Sry-beta	CG1826	
Sry-beta	CG8841	
Sry-beta	CG11168	
Sry-beta	CG9004	
Sry-beta	CG11164	
Sry-beta	CG8206	
Sry-beta	dpa	
Sry-beta	CG6443	
Sry-beta	CG8209	
Sry-beta	fzy	
Sry-beta	CG2924	
Sry-beta	CG2926	
Sry-beta	CG15914	
Sry-beta	smt3	
Sry-beta	CG4553	
Sry-beta	lmg	
Sry-beta	CG1227	
Sry-beta	CG4857	
Sry-beta	Mes-4	
Sry-beta	Aps	
Sry-beta	Rca1	
Sry-beta	Nup214	
Sry-beta	CG7262	
Sry-beta	Sry-alpha	
Sry-beta	CG7974	
Sry-beta	Caf1-180	
Sry-beta	Ars2	
Sry-beta	Amun	
Sry-beta	Kap-alpha3	
Sry-beta	ial	
Sry-beta	Kap-alpha1	
Sry-beta	Slbp	
Sry-beta	Hmu	
Sry-beta	CG15863	
Sry-beta	Ote	
Sry-beta	Hmr	
Sry-beta	CG30094	
Sry-beta	CG1647	
Sry-beta	CG1646	
Sry-beta	CG11906	
Sry-beta	Mys45A	
Sry-beta	CG9915	
Sry-beta	Sas-4	
Sry-beta	CG4771	
Sry-beta	san	
Sry-beta	CG31743	
Sry-beta	CG5543	
Sry-beta	sax	
Sry-beta	BM-40-SPARC	
Sry-beta	CG5787	
Sry-beta	CG5780	
Sry-beta	CG5783	
Sry-beta	CG10565	
Sry-beta	Mfap1	
Sry-beta	Rpn12	
Sry-beta	Dp	
Sry-beta	CstF-64	
Sry-beta	CG14650	
Sry-beta	Aos1	
Sry-beta	CG10627	
Sry-beta	dUTPase	
Sry-beta	l(2)37Cb	
Sry-beta	l(2)37Cd	
Sry-beta	CG6937	
Sry-beta	CG5491	
Sry-beta	mri	
Sry-beta	D1	
Sry-beta	CG42359	
Sry-beta	CG3797	
Sry-beta	CG14194	
Sry-beta	CG6843	
Sry-beta	CG10754	
Sry-beta	Hrb98DE	
Sry-beta	Kmn1	
Sry-beta	Ras85D	
Sry-beta	Sas10	
Sry-beta	Csl4	
Sry-beta	CG32075	
Sry-beta	Rad17	
Sry-beta	Bub3	
Sry-beta	rept	
Sry-beta	CG18292	
Sry-beta	CG7099	
Sry-beta	Dnz1	
Sry-beta	CG11577	
Sry-beta	kin17	
Sry-beta	CG7006	
Sry-beta	CG4622	
Sry-beta	jigr1	
Sry-beta	CG5235	
Sry-beta	CG3887	
Sry-beta	CG3883	
Sry-beta	Gga	
Sry-beta	CG10376	
Sry-beta	CG10375	
Sry-beta	ytr	
Sry-beta	Rbm13	
Sry-beta	CG2685	
Sry-beta	su(s)	
Sry-beta	Rbf2	
Sry-beta	CG2137	
Sry-beta	Nedd8	
Sry-beta	nonA	
Sry-beta	snama	
Sry-beta	CG9107	
Sry-beta	dome	
Sry-beta	Rbp1	
Sry-beta	Rbp2	
Sry-beta	tum	
Sry-beta	pUf68	
Sry-beta	l(3)j2D3	
Sry-beta	CG33096	
Sry-beta	CG9586	
Sry-beta	gwl	
Sry-beta	CG1815	
Sry-beta	Cyp9f2	
Sry-beta	CG11399	
Sry-beta	CG4788	
Sry-beta	Rcp	
Sry-beta	CG6454	
Sry-beta	CG4785	
Sry-beta	CG2915	
Sry-beta	PEK	
Sry-beta	polo	
Sry-beta	lolal	
Sry-beta	Axn	
Sry-beta	Rlb1	
Sry-beta	mars	
Sry-beta	CG9293	
Sry-beta	Iswi	
Sry-beta	CG7946	
Sry-beta	fs(1)K10	
Sry-beta	CG1074	
Sry-beta	escl	
Sry-beta	CG13089	
Sry-beta	scaf6	
Sry-beta	O-fut1	
Sry-beta	Rpd3	
Sry-beta	HP1c	
Sry-beta	HP1b	
Sry-beta	mof	
Sry-beta	Herp	
Sry-beta	CG1677	
Sry-beta	CG11970	
Sry-beta	CG11975	
Sry-beta	msb1l	
Sry-beta	Exp6	
Sry-beta	CG1109	
Sry-beta	CG4165	
Sry-beta	CG4164	
Sry-beta	CG4169	
Sry-beta	CG4764	
Sry-beta	CG14230	
Sry-beta	CG30020	
Sry-beta	pav	
Sry-beta	CG34214	
Sry-beta	CG8435	
Sry-beta	CG4768	
Sry-beta	CG8436	
Sry-beta	Nup153	
