# This file contains the list of genes (nodes) in the gene regulatory network
# of Saccharomyces cerevisiae.
# 
# The original network was built using the information available from
# 
# Teixeira MC, Monteiro PT, Guerreiro JF, Gonçalves JP, Mira NP, Dos Santos
# SC, et al. The YEASTRACT database: an upgraded information system for the
# analysis of gene and genomic transcription regulation in Saccharomyces
# cerevisiae.      Nucleic acids research. 2014;42(1):D161–6.
# doi:10.1093/nar/gkt1015.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
not3	12	239	Reservoir
msi1	19	236	Reservoir
sip4	39	235	Reservoir
rdr1	36	233	Reservoir
met28	42	229	Reservoir
hst1	24	228	Reservoir
met18	23	223	Reservoir
cha4	29	217	Reservoir
dat1	48	215	Reservoir
gat4	21	215	Reservoir
tda9	21	214	Reservoir
hog1	53	211	Reservoir
gat1	57	210	Reservoir
yer184c	22	204	Reservoir
hel2	31	203	Reservoir
fzf1	27	203	Reservoir
tos4	113	202	Reservoir
ert1	19	199	Reservoir
dal80	26	198	Reservoir
mbf1	66	197	Reservoir
azf1	14	196	Reservoir
ppr1	19	191	Reservoir
caf4	10	189	Reservoir
plm2	23	185	Reservoir
vms1	22	185	Reservoir
wtm1	86	183	Reservoir
ygr067c	43	183	Reservoir
stb2	23	180	Reservoir
pop2	33	179	Reservoir
snf11	34	177	Reservoir
sut2	57	174	Reservoir
rpi1	80	173	Reservoir
kss1	30	170	Reservoir
wtm2	81	168	Reservoir
gsm1	23	168	Reservoir
stp4	80	165	Reservoir
ypr196w	25	163	Reservoir
yer130c	40	161	Reservoir
dot6	24	159	Reservoir
yjl206c	18	156	Reservoir
hst3	38	151	Reservoir
cat8	27	150	Reservoir
arg82	19	142	Reservoir
ada2	21	139	Reservoir
sfl1	24	138	Reservoir
hst4	22	134	Reservoir
eds1	25	133	Reservoir
ypr015c	52	131	Reservoir
sas4	16	131	Reservoir
usv1	51	130	Reservoir
bye1	20	128	Reservoir
pho23	27	126	Reservoir
mot2	16	124	Reservoir
ime1	71	122	Reservoir
ask10	23	121	Reservoir
ypr022c	13	121	Reservoir
oaf3	19	117	Reservoir
smk1	41	113	Reservoir
hms2	81	112	Reservoir
dot5	40	106	Reservoir
snt2	11	106	Reservoir
tbs1	21	102	Reservoir
jhd1	16	102	Reservoir
rpd3	20	98	Reservoir
pog1	32	94	Reservoir
rsc30	14	94	Reservoir
stb6	33	89	Reservoir
nsi1	11	88	Reservoir
war1	27	87	Reservoir
ssn3	27	87	Reservoir
yfl052w	31	85	Reservoir
gal80	22	85	Reservoir
gal3	32	84	Reservoir
tod6	25	83	Reservoir
hot1	24	77	Reservoir
rif2	31	73	Reservoir
ngg1	21	69	Reservoir
mal13	22	66	Reservoir
sip3	18	65	Reservoir
tho2	18	62	Reservoir
pdr8	23	60	Reservoir
ykl222c	20	60	Reservoir
hpa2	16	59	Reservoir
stb4	23	55	Reservoir
ynr063w	30	54	Reservoir
srd1	32	53	Reservoir
hat1	15	51	Reservoir
srb5	18	49	Reservoir
mds3	16	36	Reservoir
pdc2	13	26	Reservoir
ndd1	63	7	Reservoir
hpc2	20	7	Reservoir
imp2'	42	5	Reservoir
rts2	25	41	Readout
stb3	27	34	Readout
sua7	8	8	Readout
rgt2	16	7	Readout
lys14	23	6	Readout
esa1	25	3	Readout
cyc8	25	2	Readout
ure2	11	2	Readout
rtg2	11	2	Readout
mal63	1	2	Readout
flo11	71	1	Readout
asf1	60	1	Readout
elp6	40	1	Readout
snf7	39	1	Readout
ume1	34	1	Readout
rds3	12	1	Readout
thi3	8	1	Readout
swi1	222	0	Readout_terminal
ymr034c	186	0	Readout_terminal
pho5	174	0	Readout_terminal
bat2	174	0	Readout_terminal
phm6	149	0	Readout_terminal
ict1	144	0	Readout_terminal
spl2	142	0	Readout_terminal
whi2	138	0	Readout_terminal
gpx2	136	0	Readout_terminal
zrt1	135	0	Readout_terminal
pcl1	134	0	Readout_terminal
arg4	128	0	Readout_terminal
yck1	127	0	Readout_terminal
smb1	125	0	Readout_terminal
oac1	125	0	Readout_terminal
ptr2	124	0	Readout_terminal
mch4	124	0	Readout_terminal
aga1	124	0	Readout_terminal
ygp1	123	0	Readout_terminal
izh4	123	0	Readout_terminal
pho89	121	0	Readout_terminal
aga2	120	0	Readout_terminal
ylr297w	119	0	Readout_terminal
pho11	118	0	Readout_terminal
tip1	116	0	Readout_terminal
yfr006w	114	0	Readout_terminal
pho12	114	0	Readout_terminal
nde1	114	0	Readout_terminal
mss1	114	0	Readout_terminal
ylr049c	113	0	Readout_terminal
crp1	110	0	Readout_terminal
hsp12	109	0	Readout_terminal
tos6	106	0	Readout_terminal
opy1	106	0	Readout_terminal
bar1	106	0	Readout_terminal
mfa1	104	0	Readout_terminal
tsc10	103	0	Readout_terminal
sed1	103	0	Readout_terminal
cdc21	103	0	Readout_terminal
alt1	103	0	Readout_terminal
svs1	102	0	Readout_terminal
cwp1	102	0	Readout_terminal
plb2	101	0	Readout_terminal
net1	101	0	Readout_terminal
met14	101	0	Readout_terminal
aro9	101	0	Readout_terminal
yhb1	100	0	Readout_terminal
rts3	100	0	Readout_terminal
cln1	100	0	Readout_terminal
mdh2	98	0	Readout_terminal
arg1	98	0	Readout_terminal
yro2	96	0	Readout_terminal
aqr1	96	0	Readout_terminal
zpr1	95	0	Readout_terminal
leu1	94	0	Readout_terminal
isu2	94	0	Readout_terminal
gas3	94	0	Readout_terminal
spi1	93	0	Readout_terminal
hsp82	93	0	Readout_terminal
ald5	93	0	Readout_terminal
ura1	92	0	Readout_terminal
tim50	92	0	Readout_terminal
ste2	92	0	Readout_terminal
ssu1	91	0	Readout_terminal
hor7	91	0	Readout_terminal
dsk2	91	0	Readout_terminal
rib4	90	0	Readout_terminal
hpf1	90	0	Readout_terminal
ddr48	90	0	Readout_terminal
ynr066c	89	0	Readout_terminal
oxa1	89	0	Readout_terminal
ole1	89	0	Readout_terminal
gas2	89	0	Readout_terminal
ynl146w	88	0	Readout_terminal
ura4	88	0	Readout_terminal
fit2	88	0	Readout_terminal
pry2	87	0	Readout_terminal
hsp30	87	0	Readout_terminal
gat2	87	0	Readout_terminal
fus1	87	0	Readout_terminal
ndj1	86	0	Readout_terminal
yfl068w	85	0	Readout_terminal
uth1	85	0	Readout_terminal
tpo2	85	0	Readout_terminal
sti1	85	0	Readout_terminal
rpn10	85	0	Readout_terminal
prb1	85	0	Readout_terminal
por1	85	0	Readout_terminal
izh2	85	0	Readout_terminal
cyc1	85	0	Readout_terminal
cit2	85	0	Readout_terminal
ylr349w	84	0	Readout_terminal
ylr040c	84	0	Readout_terminal
rpl31a	84	0	Readout_terminal
pho3	84	0	Readout_terminal
ino1	84	0	Readout_terminal
