# This file contains the list of genes (nodes) in the gene regulatory network
# of Escherichia coli.
# 
# The original network was built using the information available from
# 
# Keseler IM, Collado-Vides J, Santos-Zavaleta A, Peralta-Gil M, Gama-Castro S,
# Muñiz-Rascado L, et al. EcoCyc: a comprehensive database of Escherichia coli
# biology. Nucleic acids research. 2011;39(Database issue):D583–90.
# doi:10.1093/nar/gkq1143.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
sucC	8	0	Readout_terminal
sucB	8	0	Readout_terminal
sucA	8	0	Readout_terminal
pflB	8	0	Readout_terminal
osmY	8	0	Readout_terminal
napH	8	0	Readout_terminal
napG	8	0	Readout_terminal
napF	8	0	Readout_terminal
napD	8	0	Readout_terminal
napC	8	0	Readout_terminal
napB	8	0	Readout_terminal
napA	8	0	Readout_terminal
mglA	8	0	Readout_terminal
marB	8	0	Readout_terminal
hyaF	8	0	Readout_terminal
hyaE	8	0	Readout_terminal
hyaD	8	0	Readout_terminal
hyaC	8	0	Readout_terminal
hyaB	8	0	Readout_terminal
hyaA	8	0	Readout_terminal
glpC	8	0	Readout_terminal
glpB	8	0	Readout_terminal
glpA	8	0	Readout_terminal
galT	8	0	Readout_terminal
galK	8	0	Readout_terminal
galE	8	0	Readout_terminal
fumB	8	0	Readout_terminal
fliY	8	0	Readout_terminal
dps	8	0	Readout_terminal
cyoE	8	0	Readout_terminal
cyoD	8	0	Readout_terminal
cyoC	8	0	Readout_terminal
cyoB	8	0	Readout_terminal
cyoA	8	0	Readout_terminal
ccmH	8	0	Readout_terminal
carB	8	0	Readout_terminal
carA	8	0	Readout_terminal
caiE	8	0	Readout_terminal
cadB	8	0	Readout_terminal
cadA	8	0	Readout_terminal
acrB	8	0	Readout_terminal
acrA	8	0	Readout_terminal
aceF	8	0	Readout_terminal
aceE	8	0	Readout_terminal
zwf	7	0	Readout_terminal
yhiM	7	0	Readout_terminal
yfaE	7	0	Readout_terminal
thrV	7	0	Readout_terminal
tdcG	7	0	Readout_terminal
sufS	7	0	Readout_terminal
sufE	7	0	Readout_terminal
sufD	7	0	Readout_terminal
sufC	7	0	Readout_terminal
sufB	7	0	Readout_terminal
sufA	7	0	Readout_terminal
sodB	7	0	Readout_terminal
slp	7	0	Readout_terminal
rrfF	7	0	Readout_terminal
ompC	7	0	Readout_terminal
nuoN	7	0	Readout_terminal
nuoM	7	0	Readout_terminal
nuoL	7	0	Readout_terminal
nuoK	7	0	Readout_terminal
nuoJ	7	0	Readout_terminal
nuoI	7	0	Readout_terminal
nuoH	7	0	Readout_terminal
nuoG	7	0	Readout_terminal
nuoF	7	0	Readout_terminal
nuoE	7	0	Readout_terminal
nuoC	7	0	Readout_terminal
nuoB	7	0	Readout_terminal
nuoA	7	0	Readout_terminal
norW	7	0	Readout_terminal
norV	7	0	Readout_terminal
narJ	7	0	Readout_terminal
narI	7	0	Readout_terminal
narH	7	0	Readout_terminal
narG	7	0	Readout_terminal
mtr	7	0	Readout_terminal
mglB	7	0	Readout_terminal
hycI	7	0	Readout_terminal
grcA	7	0	Readout_terminal
glpT	7	0	Readout_terminal
glpQ	7	0	Readout_terminal
glcA	7	0	Readout_terminal
gabT	7	0	Readout_terminal
gabP	7	0	Readout_terminal
gabD	7	0	Readout_terminal
focA	7	0	Readout_terminal
fimB	7	0	Readout_terminal
fecE	7	0	Readout_terminal
dmsC	7	0	Readout_terminal
dmsB	7	0	Readout_terminal
dmsA	7	0	Readout_terminal
dctR	7	0	Readout_terminal
ccmG	7	0	Readout_terminal
ccmF	7	0	Readout_terminal
ccmE	7	0	Readout_terminal
ccmD	7	0	Readout_terminal
ccmC	7	0	Readout_terminal
ccmB	7	0	Readout_terminal
ccmA	7	0	Readout_terminal
bglG	7	0	Readout_terminal
bglF	7	0	Readout_terminal
bglB	7	0	Readout_terminal
adhE	7	0	Readout_terminal
actP	7	0	Readout_terminal
aceK	7	0	Readout_terminal
aceB	7	0	Readout_terminal
aceA	7	0	Readout_terminal
yjcH	6	0	Readout_terminal
yiaO	6	0	Readout_terminal
yiaN	6	0	Readout_terminal
yiaM	6	0	Readout_terminal
yiaL	6	0	Readout_terminal
yiaK	6	0	Readout_terminal
ydeP	6	0	Readout_terminal
yciE	6	0	Readout_terminal
ubiC	6	0	Readout_terminal
ubiA	6	0	Readout_terminal
tyrP	6	0	Readout_terminal
tdcF	6	0	Readout_terminal
tdcE	6	0	Readout_terminal
tdcD	6	0	Readout_terminal
tdcC	6	0	Readout_terminal
tdcB	6	0	Readout_terminal
ssuE	6	0	Readout_terminal
ssuD	6	0	Readout_terminal
ssuC	6	0	Readout_terminal
ssuB	6	0	Readout_terminal
ssuA	6	0	Readout_terminal
sra	6	0	Readout_terminal
sgbU	6	0	Readout_terminal
sgbH	6	0	Readout_terminal
sgbE	6	0	Readout_terminal
rutG	6	0	Readout_terminal
rtcA	6	0	Readout_terminal
rrsH	6	0	Readout_terminal
rrsG	6	0	Readout_terminal
rrsD	6	0	Readout_terminal
rrsC	6	0	Readout_terminal
rrsB	6	0	Readout_terminal
rrlH	6	0	Readout_terminal
rrlG	6	0	Readout_terminal
rrlD	6	0	Readout_terminal
rrlC	6	0	Readout_terminal
rrlB	6	0	Readout_terminal
rrfH	6	0	Readout_terminal
rrfG	6	0	Readout_terminal
rrfD	6	0	Readout_terminal
rrfC	6	0	Readout_terminal
rrfB	6	0	Readout_terminal
rnpB	6	0	Readout_terminal
ptsG	6	0	Readout_terminal
pstS	6	0	Readout_terminal
pstC	6	0	Readout_terminal
pstB	6	0	Readout_terminal
pstA	6	0	Readout_terminal
phoU	6	0	Readout_terminal
osmC	6	0	Readout_terminal
nrdB	6	0	Readout_terminal
nrdA	6	0	Readout_terminal
narK	6	0	Readout_terminal
mdh	6	0	Readout_terminal
lyxK	6	0	Readout_terminal
ileV	6	0	Readout_terminal
ileU	6	0	Readout_terminal
hypF	6	0	Readout_terminal
hypE	6	0	Readout_terminal
hypD	6	0	Readout_terminal
hypC	6	0	Readout_terminal
hypB	6	0	Readout_terminal
hycH	6	0	Readout_terminal
hycG	6	0	Readout_terminal
hycF	6	0	Readout_terminal
hycE	6	0	Readout_terminal
hycD	6	0	Readout_terminal
hycC	6	0	Readout_terminal
hycB	6	0	Readout_terminal
hycA	6	0	Readout_terminal
hdeD	6	0	Readout_terminal
hcr	6	0	Readout_terminal
hcp	6	0	Readout_terminal
gltW	6	0	Readout_terminal
gltU	6	0	Readout_terminal
gltT	6	0	Readout_terminal
glnQ	6	0	Readout_terminal
glgP	6	0	Readout_terminal
glcG	6	0	Readout_terminal
glcF	6	0	Readout_terminal
glcE	6	0	Readout_terminal
